sample_order_id,station_code,anonymous_user_segment,charge_begin,charge_end,charge_time_minutes,charging_kwh,electricity_amount,service_amount,gross_amount,pay_status,end_reason_category,is_zero_energy_session,data_origin
SAMPLE-001,S001,occasional,2025-01-01 06:00:00,2025-01-01 06:33:00,33,20.74,17.01,7.26,24.27,unpaid,platform_stop,False,fully_synthetic
SAMPLE-002,S002,regular,2025-01-01 10:00:00,2025-01-01 10:49:00,49,62.44,51.2,21.85,73.05,paid,user_stop,False,fully_synthetic
SAMPLE-003,S003,frequent,2025-01-01 14:00:00,2025-01-01 14:19:00,19,57.36,47.04,20.08,67.12,paid,platform_stop,False,fully_synthetic
SAMPLE-004,S004,occasional,2025-01-01 18:00:00,2025-01-01 19:04:00,64,55.56,58.34,19.45,77.79,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-005,S005,regular,2025-01-01 22:00:00,2025-01-01 22:46:00,46,42.01,27.31,14.7,42.01,paid,platform_stop,False,fully_synthetic
SAMPLE-006,S001,frequent,2025-01-01 21:00:00,2025-01-01 21:35:00,35,13.67,11.21,4.78,15.99,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-007,S002,occasional,2025-01-02 01:00:00,2025-01-02 01:24:00,24,20.52,16.83,7.18,24.01,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-008,S003,regular,2025-01-02 05:00:00,2025-01-02 05:21:00,21,19.43,20.4,6.8,27.2,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-009,S004,frequent,2025-01-02 09:00:00,2025-01-02 10:32:00,92,38.39,31.48,13.44,44.92,paid,user_stop,False,fully_synthetic
SAMPLE-010,S005,occasional,2025-01-02 13:00:00,2025-01-02 13:33:00,33,56.1,46.0,19.63,65.63,paid,platform_stop,False,fully_synthetic
SAMPLE-011,S001,regular,2025-01-02 12:00:00,2025-01-02 13:14:00,74,8.8,7.22,3.08,10.3,paid,user_stop,False,fully_synthetic
SAMPLE-012,S002,frequent,2025-01-02 16:00:00,2025-01-02 17:13:00,73,62.17,65.28,21.76,87.04,paid,platform_stop,False,fully_synthetic
SAMPLE-013,S003,occasional,2025-01-02 20:00:00,2025-01-02 20:40:00,40,59.3,38.55,20.75,59.3,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-014,S004,regular,2025-01-03 00:00:00,2025-01-03 01:09:00,69,24.07,19.74,8.42,28.16,paid,user_stop,False,fully_synthetic
SAMPLE-015,S005,frequent,2025-01-03 04:00:00,2025-01-03 04:30:00,30,37.27,39.13,13.04,52.17,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-016,S001,occasional,2025-01-03 03:00:00,2025-01-03 03:59:00,59,37.69,39.57,13.19,52.76,paid,user_stop,False,fully_synthetic
SAMPLE-017,S002,regular,2025-01-03 07:00:00,2025-01-03 08:01:00,61,19.41,12.62,6.79,19.41,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-018,S003,frequent,2025-01-03 11:00:00,2025-01-03 12:14:00,74,0.0,0.0,0.0,0.0,paid,communication_timeout,True,fully_synthetic
SAMPLE-019,S004,occasional,2025-01-03 15:00:00,2025-01-03 15:54:00,54,43.55,28.31,15.24,43.55,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-020,S005,regular,2025-01-03 19:00:00,2025-01-03 19:33:00,33,45.48,29.56,15.92,45.48,unpaid,vehicle_target_reached,False,fully_synthetic
SAMPLE-021,S001,frequent,2025-01-03 18:00:00,2025-01-03 19:07:00,67,37.08,24.1,12.98,37.08,paid,platform_stop,False,fully_synthetic
SAMPLE-022,S002,occasional,2025-01-03 22:00:00,2025-01-03 23:23:00,83,64.54,67.77,22.59,90.36,paid,platform_stop,False,fully_synthetic
SAMPLE-023,S003,regular,2025-01-04 02:00:00,2025-01-04 03:22:00,82,47.7,31.01,16.7,47.71,paid,user_stop,False,fully_synthetic
SAMPLE-024,S004,frequent,2025-01-04 06:00:00,2025-01-04 06:40:00,40,16.58,13.6,5.8,19.4,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-025,S005,occasional,2025-01-04 10:00:00,2025-01-04 10:22:00,22,51.08,41.89,17.88,59.77,paid,platform_stop,False,fully_synthetic
SAMPLE-026,S001,regular,2025-01-04 09:00:00,2025-01-04 10:03:00,63,57.06,37.09,19.97,57.06,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-027,S002,frequent,2025-01-04 13:00:00,2025-01-04 14:14:00,74,13.35,14.02,4.67,18.69,paid,user_stop,False,fully_synthetic
SAMPLE-028,S003,occasional,2025-01-04 17:00:00,2025-01-04 18:34:00,94,13.22,8.59,4.63,13.22,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-029,S004,regular,2025-01-04 21:00:00,2025-01-04 21:41:00,41,44.92,47.17,15.72,62.89,paid,user_stop,False,fully_synthetic
SAMPLE-030,S005,frequent,2025-01-05 01:00:00,2025-01-05 01:48:00,48,15.37,16.14,5.38,21.52,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-031,S001,occasional,2025-01-05 00:00:00,2025-01-05 01:04:00,64,61.94,65.04,21.68,86.72,paid,platform_stop,False,fully_synthetic
SAMPLE-032,S002,regular,2025-01-05 04:00:00,2025-01-05 04:34:00,34,26.82,17.43,9.39,26.82,paid,vehicle_target_reached,False,fully_synthetic
