user_id,register_date,user_type
U001,2025-01-04,individual
U002,2025-02-07,individual
U003,2025-03-10,fleet
U004,2025-04-13,ride_hailing
U005,2025-05-16,individual
U006,2025-06-19,fleet
U007,2025-07-22,individual
U008,2025-08-01,ride_hailing
U009,2025-09-04,individual
U010,2025-10-07,fleet
U011,2025-11-10,individual
U012,2025-12-13,individual
U013,2025-01-16,ride_hailing
U014,2025-02-19,individual
U015,2025-03-22,fleet
U016,2025-04-01,individual
U017,2025-05-04,individual
U018,2025-06-07,ride_hailing
U019,2025-07-10,individual
U020,2025-08-13,fleet
