end_reason,order_count
APP/微信/平台停止,27793
BST车端主动停止,11490
BST车端主动停止(达到单体电压),6358
BST车端主动停止(达到总电压),1054
余额不足停止,966
枪未正确连接/连接断开,945
达到桩端设置SOC阈值停止,943
等待接收车端BRM报文超时,690
BST其他异常,520
屏幕手动停止,356
桩端急停按钮被按下,275
桩主动停止,242
桩启动响应超时,207
绝缘检测阻值低告警,158
充电模块绝缘升压超时,88
等待接收车端BRO[00]报文超时,81
充电设备产生有新充电订单,75
启动中/运行中/停止中不允许启动,65
BST充电连接器故障,62
等待接收车端BCL报文超时,46
充电板通讯故障,38
设备掉电非正常停止,28
预充升压超时,24
BST检测点2电压故障,22
等待接收车端BRO[AA]报文超时,21
绝缘检测时未检测到电压,18
充电枪电子锁故障,17
辅枪停止,16
车端已发BRO[AA]再发BRO[00],16
BST电压过大,12
等待接收车端BCS报文超时,12
K1/K2继电器外侧电压大于10V,10
BEM中CRM[00]超时中止,10
BEM中CSD超时中止,10
BST高压继电器故障,10
与平台通讯中断停止,9
主动防护:电压曲线抖动防护模型异常告警,8
车辆继电器开路保护,7
BEM中CST超时中止,6
电表数据异常,6
BEM中CRM[AA]超时中止,5
BST电流过大,5
等待接收车端BCP报文超时,4
电池极性反接故障,4
BST绝缘故障,4
BEM中CRO超时中止,4
审计:订单持续10分钟有电流电压但无电量停止,3
BST电池过温,3
桩体柜门打开,3
VIN码在线鉴权失败,2
后台下发指令停止充电,2
平台侧强制停止订单,2
BEM中CML/CTS超时中止,1
BEM其他原因中止,1
交流电表通讯故障,1
主动防护:重点车型SOC达到限制值,1
主动防护:电流曲线抖动防护模型异常告警,1
PDU6通讯故障,1
PDU12通讯故障,1
BEM中CCS超时中止,1
功率板通讯故障,1
锁枪异常,1
