date,year,month,month_name,day,weekday,weekday_name,is_weekend
2026-08-01,2026,8,August,1,6,Saturday,True
2026-08-02,2026,8,August,2,7,Sunday,True
2026-08-03,2026,8,August,3,1,Monday,False
2026-08-04,2026,8,August,4,2,Tuesday,False
2026-08-05,2026,8,August,5,3,Wednesday,False
2026-08-06,2026,8,August,6,4,Thursday,False
2026-08-07,2026,8,August,7,5,Friday,False
2026-08-08,2026,8,August,8,6,Saturday,True
2026-08-09,2026,8,August,9,7,Sunday,True
2026-08-10,2026,8,August,10,1,Monday,False
2026-08-11,2026,8,August,11,2,Tuesday,False
2026-08-12,2026,8,August,12,3,Wednesday,False
2026-08-13,2026,8,August,13,4,Thursday,False
2026-08-14,2026,8,August,14,5,Friday,False
2026-08-15,2026,8,August,15,6,Saturday,True
2026-08-16,2026,8,August,16,7,Sunday,True
2026-08-17,2026,8,August,17,1,Monday,False
2026-08-18,2026,8,August,18,2,Tuesday,False
2026-08-19,2026,8,August,19,3,Wednesday,False
2026-08-20,2026,8,August,20,4,Thursday,False
2026-08-21,2026,8,August,21,5,Friday,False
2026-08-22,2026,8,August,22,6,Saturday,True
2026-08-23,2026,8,August,23,7,Sunday,True
2026-08-24,2026,8,August,24,1,Monday,False
2026-08-25,2026,8,August,25,2,Tuesday,False
2026-08-26,2026,8,August,26,3,Wednesday,False
2026-08-27,2026,8,August,27,4,Thursday,False
2026-08-28,2026,8,August,28,5,Friday,False
2026-08-29,2026,8,August,29,6,Saturday,True
2026-08-30,2026,8,August,30,7,Sunday,True
