user_id,register_date,user_type,user_segment
U001,2025-01-04,individual,high_frequency
U002,2025-02-07,individual,high_frequency
U003,2025-03-10,fleet,high_frequency
U004,2025-04-13,ride_hailing,high_frequency
U005,2025-05-16,individual,high_frequency
U006,2025-06-19,fleet,medium_frequency
U007,2025-07-22,individual,medium_frequency
U008,2025-08-01,ride_hailing,medium_frequency
U009,2025-09-04,individual,medium_frequency
U010,2025-10-07,fleet,medium_frequency
U011,2025-11-10,individual,medium_frequency
U012,2025-12-13,individual,medium_frequency
U013,2025-01-16,ride_hailing,medium_frequency
U014,2025-02-19,individual,medium_frequency
U015,2025-03-22,fleet,low_frequency
U016,2025-04-01,individual,low_frequency
U017,2025-05-04,individual,low_frequency
U018,2025-06-07,ride_hailing,low_frequency
U019,2025-07-10,individual,low_frequency
U020,2025-08-13,fleet,low_frequency
