charge_date,order_count,charging_kwh,amount_paid
2024-07-13,81,1456.369,1574.36
2024-07-14,88,2210.831,2387.72
2024-07-15,88,1996.955,2156.66
2024-07-16,83,2087.677,2254.63
2024-07-17,74,1888.198,2039.34
2024-07-18,90,1968.773,2126.24
2024-07-19,107,2052.133,2216.2
2024-07-20,120,2143.981,2315.47
2024-07-21,125,2645.154,2856.85
2024-07-22,94,2089.309,2256.49
2024-07-23,108,2391.219,2366.29
2024-07-24,101,2157.937,2114.78
2024-07-25,90,2013.161,1972.83
2024-07-26,109,2721.909,2667.51
2024-07-27,128,2946.817,2886.63
2024-07-28,93,2281.574,2235.92
2024-07-29,93,2271.926,2226.57
2024-07-30,84,1927.076,1888.5
2024-07-31,124,3582.962,3511.36
2024-08-01,121,3239.582,3174.84
2024-08-02,130,3055.886,2994.7
2024-08-03,134,3510.528,3440.33
2024-08-04,136,3246.191,3181.21
2024-08-05,177,4108.819,4049.33
2024-08-06,170,4490.67,4413.7
2024-08-07,196,5478.537,5368.88
2024-08-08,203,5076.492,4974.85
2024-08-09,203,5005.416,4905.35
2024-08-10,267,7630.368,7477.9
2024-08-11,234,6529.547,6398.97
2024-08-12,230,6584.408,6452.63
2024-08-13,230,6532.821,6402.15
2024-08-14,230,6409.011,6280.75
2024-08-15,252,6812.948,6676.76
2024-08-16,273,8280.627,8115.04
2024-08-17,245,7191.991,7048.1
2024-08-18,216,5818.538,5702.13
2024-08-19,250,6888.262,6750.5
2024-08-20,227,5758.112,5641.74
2024-08-21,257,7054.08,6912.37
2024-08-22,240,7104.706,6956.81
2024-08-23,257,6930.189,6790.69
2024-08-24,281,7602.065,7443.52
2024-08-25,284,7432.818,7283.23
2024-08-26,245,6517.221,6381.61
2024-08-27,247,6994.963,6847.68
2024-08-28,244,6618.396,6430.88
2024-08-29,208,5734.391,5595.07
2024-08-30,252,6870.361,6713.8
2024-08-31,210,5311.228,5190.58
2024-09-01,243,6001.833,5863.41
2024-09-02,198,5444.206,5332.75
2024-09-03,186,4928.653,4827.78
2024-09-04,247,6899.891,6747.15
2024-09-05,237,6341.896,6209.2
2024-09-06,225,6633.057,6493.78
2024-09-07,194,5480.231,5366.04
2024-09-08,222,7124.253,6975.76
2024-09-09,248,6384.529,6245.33
2024-09-10,272,7689.985,7514.75
2024-09-11,227,9321.18,9085.01
2024-09-12,268,8181.613,7985.78
2024-09-13,262,9938.534,9704.97
2024-09-14,274,9046.962,8842.56
2024-09-15,270,8598.286,8413.58
2024-09-16,216,6008.158,5872.89
2024-09-17,187,4381.119,4284.67
2024-09-18,237,6614.44,6468.14
2024-09-19,261,9280.335,9070.03
2024-09-20,243,7071.671,6918.74
2024-09-21,261,7380.104,7228.49
2024-09-22,253,7978.406,7807.84
2024-09-23,222,5986.068,5859.65
2024-09-24,233,7675.37,7509.77
2024-09-25,244,6217.674,6074.6
2024-09-26,223,6182.384,6047.59
2024-09-27,260,9240.771,9042.08
2024-09-28,289,8741.655,8553.4
2024-09-29,287,7677.168,7502.68
2024-09-30,463,13660.397,13364.87
2024-10-01,768,21475.648,21020.35
2024-10-02,524,13078.39,12796.07
2024-10-03,536,13335.187,13046.76
2024-10-04,531,15404.878,15053.5
2024-10-05,608,16537.804,16158.74
2024-10-06,646,17488.59,17104.97
2024-10-07,489,13805.527,13507.28
2024-10-08,211,6481.592,6338.92
2024-10-09,255,9235.638,8996.07
2024-10-10,204,5861.125,5712.72
2024-10-11,221,6273.207,6142.26
2024-10-12,238,8442.341,8260.58
2024-10-13,235,8129.249,7956.83
2024-10-14,203,6172.072,5886.53
2024-10-15,228,7898.711,7271.31
2024-10-16,237,7619.606,7061.97
2024-10-17,289,9082.623,8481.22
2024-10-18,256,9672.928,9166.6
2024-10-19,250,7625.487,7133.3
2024-10-20,274,10376.11,9521.79
2024-10-21,258,8629.755,8107.39
2024-10-22,294,10542.376,9838.53
2024-10-23,271,7589.235,7121.89
2024-10-24,279,8960.483,8406.91
2024-10-25,285,9942.968,9343.17
2024-10-26,262,9874.185,9190.93
2024-10-27,311,10162.92,9436.9
2024-10-28,306,8996.479,8378.05
2024-10-29,279,9617.82,8858.69
2024-10-30,283,10173.938,9415.23
2024-10-31,262,7563.394,7069.54
2024-11-01,267,7908.157,7833.89
2024-11-02,282,8166.208,8275.11
2024-11-03,346,8923.652,8759.42
2024-11-04,306,9483.938,9540.82
2024-11-05,273,10138.829,10155.95
2024-11-06,256,8051.16,8238.11
2024-11-07,305,10664.868,10880.38
2024-11-08,282,8979.756,9245.98
2024-11-09,270,9097.703,9033.22
2024-11-10,313,9612.268,9764.35
2024-11-11,246,8736.272,8975.21
2024-11-12,276,9256.785,9219.99
2024-11-13,311,10237.017,10259.82
2024-11-14,302,7966.131,8028.01
2024-11-15,335,9848.295,9880.81
2024-11-16,314,9200.57,9186.66
2024-11-17,357,11466.55,11010.13
2024-11-18,337,9621.152,9523.2
2024-11-19,298,8804.267,8821.91
2024-11-20,328,9128.521,8914.62
2024-11-21,316,9696.367,9262.55
2024-11-22,297,9115.088,8910.05
2024-11-23,290,8750.866,8621.9
2024-11-24,295,8206.209,8058.62
2024-11-25,294,8891.858,8776.49
2024-11-26,360,9735.904,9727.54
2024-11-27,285,9295.274,9365.15
2024-11-28,316,9079.596,9236.48
2024-11-29,322,9961.765,10074.91
2024-11-30,323,9078.995,9096.46
2024-12-01,354,10257.683,9237.87
2024-12-02,337,10606.219,9654.93
2024-12-03,372,11104.008,9771.47
2024-12-04,332,9379.555,8187.22
2024-12-05,370,11759.632,10700.8
2024-12-06,430,11954.506,10614.89
2024-12-07,431,12973.91,11363.38
2024-12-08,422,12142.374,10301.92
2024-12-09,418,11663.801,9892.19
2024-12-10,378,11061.775,9525.56
2024-12-11,442,15179.204,12908.73
2024-12-12,412,13115.691,11525.51
2024-12-13,557,16041.514,13378.79
2024-12-14,542,15344.908,12877.76
2024-12-15,521,14326.044,11808.11
2024-12-16,415,11217.072,9195.36
2024-12-17,433,12919.615,10955.3
2024-12-18,501,14062.915,11881.85
2024-12-19,442,12068.483,9936.54
2024-12-20,438,12322.21,9878.06
2024-12-21,478,13934.358,11322.4
2024-12-22,503,14235.818,11555.44
2024-12-23,442,13235.762,11146.08
2024-12-24,517,15195.35,13029.89
2024-12-25,452,14075.521,12111.31
2024-12-26,470,12890.361,10957.63
2024-12-27,525,15069.908,12004.84
2024-12-28,631,17069.678,13629.93
2024-12-29,486,13428.04,10864.67
2024-12-30,497,13586.195,11088.82
2024-12-31,477,12888.747,10142.88
2025-01-01,490,14353.701,10876.79
2025-01-02,480,13508.133,10684.86
2025-01-03,488,13181.028,10906.57
2025-01-04,483,13182.16,10229.03
2025-01-05,492,13550.21,10876.67
2025-01-06,509,13982.69,10989.33
