endReason,end_reason_category,order_count,order_share
APP/微信/平台停止,待业务确认,27793,0.528957
BST车端主动停止,待业务确认,11490,0.218678
BST车端主动停止(达到单体电压),待业务确认,6358,0.121006
BST车端主动停止(达到总电压),待业务确认,1054,0.02006
余额不足停止,待业务确认,966,0.018385
达到桩端设置SOC阈值停止,待业务确认,943,0.017947
枪未正确连接/连接断开,待业务确认,931,0.017719
等待接收车端BRM报文超时,待业务确认,690,0.013132
BST其他异常,待业务确认,520,0.009897
屏幕手动停止,待业务确认,356,0.006775
桩端急停按钮被按下,待业务确认,275,0.005234
桩主动停止,待业务确认,242,0.004606
绝缘检测阻值低告警,待业务确认,158,0.003007
充电模块绝缘升压超时,待业务确认,88,0.001675
等待接收车端BRO[00]报文超时,待业务确认,81,0.001542
充电设备产生有新充电订单,待业务确认,75,0.001427
启动中/运行中/停止中不允许启动,待业务确认,65,0.001237
BST充电连接器故障,待业务确认,62,0.00118
等待接收车端BCL报文超时,待业务确认,46,0.000875
充电板通讯故障,待业务确认,38,0.000723
设备掉电非正常停止,待业务确认,27,0.000514
预充升压超时,待业务确认,24,0.000457
BST检测点2电压故障,待业务确认,22,0.000419
等待接收车端BRO[AA]报文超时,待业务确认,21,0.0004
绝缘检测时未检测到电压,待业务确认,18,0.000343
充电枪电子锁故障,待业务确认,17,0.000324
车端已发BRO[AA]再发BRO[00],待业务确认,16,0.000305
辅枪停止,待业务确认,16,0.000305
BST电压过大,待业务确认,12,0.000228
等待接收车端BCS报文超时,待业务确认,12,0.000228
BEM中CRM[00]超时中止,待业务确认,10,0.00019
BEM中CSD超时中止,待业务确认,10,0.00019
BST高压继电器故障,待业务确认,10,0.00019
K1/K2继电器外侧电压大于10V,待业务确认,10,0.00019
与平台通讯中断停止,待业务确认,9,0.000171
主动防护:电压曲线抖动防护模型异常告警,待业务确认,8,0.000152
车辆继电器开路保护,待业务确认,7,0.000133
BEM中CST超时中止,待业务确认,6,0.000114
电表数据异常,待业务确认,6,0.000114
BEM中CRM[AA]超时中止,待业务确认,5,9.5e-05
BST电流过大,待业务确认,5,9.5e-05
BEM中CRO超时中止,待业务确认,4,7.6e-05
BST绝缘故障,待业务确认,4,7.6e-05
电池极性反接故障,待业务确认,4,7.6e-05
等待接收车端BCP报文超时,待业务确认,4,7.6e-05
BST电池过温,待业务确认,3,5.7e-05
审计:订单持续10分钟有电流电压但无电量停止,待业务确认,3,5.7e-05
桩体柜门打开,待业务确认,3,5.7e-05
VIN码在线鉴权失败,待业务确认,2,3.8e-05
后台下发指令停止充电,待业务确认,2,3.8e-05
平台侧强制停止订单,待业务确认,2,3.8e-05
BEM中CCS超时中止,待业务确认,1,1.9e-05
BEM中CML/CTS超时中止,待业务确认,1,1.9e-05
BEM其他原因中止,待业务确认,1,1.9e-05
PDU12通讯故障,待业务确认,1,1.9e-05
PDU6通讯故障,待业务确认,1,1.9e-05
主动防护:电流曲线抖动防护模型异常告警,待业务确认,1,1.9e-05
主动防护:重点车型SOC达到限制值,待业务确认,1,1.9e-05
交流电表通讯故障,待业务确认,1,1.9e-05
功率板通讯故障,待业务确认,1,1.9e-05
锁枪异常,待业务确认,1,1.9e-05
