month,endReason,end_reason_category,order_count
2024-07,APP/微信/平台停止,待业务确认,1073
2024-07,BST车端主动停止,待业务确认,354
2024-07,BST车端主动停止(达到单体电压),待业务确认,128
2024-07,绝缘检测阻值低告警,待业务确认,123
2024-07,枪未正确连接/连接断开,待业务确认,40
2024-07,等待接收车端BRM报文超时,待业务确认,34
2024-07,余额不足停止,待业务确认,31
2024-07,BST车端主动停止(达到总电压),待业务确认,28
2024-07,达到桩端设置SOC阈值停止,待业务确认,24
2024-07,BST其他异常,待业务确认,17
2024-07,桩端急停按钮被按下,待业务确认,5
2024-07,K1/K2继电器外侧电压大于10V,待业务确认,3
2024-07,充电枪电子锁故障,待业务确认,3
2024-07,设备掉电非正常停止,待业务确认,3
2024-07,桩主动停止,待业务确认,2
2024-07,等待接收车端BRO[00]报文超时,待业务确认,2
2024-07,等待接收车端BRO[AA]报文超时,待业务确认,2
2024-07,BEM中CSD超时中止,待业务确认,1
2024-07,BST充电连接器故障,待业务确认,1
2024-07,BST电压过大,待业务确认,1
2024-07,BST绝缘故障,待业务确认,1
2024-07,主动防护:重点车型SOC达到限制值,待业务确认,1
2024-07,屏幕手动停止,待业务确认,1
2024-07,电池极性反接故障,待业务确认,1
2024-07,等待接收车端BCL报文超时,待业务确认,1
2024-08,APP/微信/平台停止,待业务确认,3941
2024-08,BST车端主动停止,待业务确认,1534
2024-08,BST车端主动停止(达到单体电压),待业务确认,634
2024-08,达到桩端设置SOC阈值停止,待业务确认,164
2024-08,BST车端主动停止(达到总电压),待业务确认,137
2024-08,枪未正确连接/连接断开,待业务确认,112
2024-08,余额不足停止,待业务确认,110
2024-08,BST其他异常,待业务确认,75
2024-08,等待接收车端BRM报文超时,待业务确认,69
2024-08,桩端急停按钮被按下,待业务确认,14
2024-08,等待接收车端BRO[AA]报文超时,待业务确认,7
2024-08,BST充电连接器故障,待业务确认,6
2024-08,等待接收车端BRO[00]报文超时,待业务确认,6
2024-08,屏幕手动停止,待业务确认,5
2024-08,K1/K2继电器外侧电压大于10V,待业务确认,4
2024-08,充电枪电子锁故障,待业务确认,4
2024-08,等待接收车端BCL报文超时,待业务确认,4
2024-08,BST电池过温,待业务确认,3
2024-08,BST检测点2电压故障,待业务确认,2
2024-08,BST绝缘故障,待业务确认,2
2024-08,VIN码在线鉴权失败,待业务确认,2
2024-08,桩体柜门打开,待业务确认,2
2024-08,设备掉电非正常停止,待业务确认,2
2024-08,车辆继电器开路保护,待业务确认,2
2024-08,BEM中CRO超时中止,待业务确认,1
2024-08,BST电流过大,待业务确认,1
2024-08,交流电表通讯故障,待业务确认,1
2024-08,充电板通讯故障,待业务确认,1
2024-08,充电模块绝缘升压超时,待业务确认,1
2024-08,桩主动停止,待业务确认,1
2024-08,等待接收车端BCS报文超时,待业务确认,1
2024-08,车端已发BRO[AA]再发BRO[00],待业务确认,1
2024-09,APP/微信/平台停止,待业务确认,4208
2024-09,BST车端主动停止,待业务确认,1398
2024-09,BST车端主动停止(达到单体电压),待业务确认,818
2024-09,余额不足停止,待业务确认,198
2024-09,BST车端主动停止(达到总电压),待业务确认,154
2024-09,达到桩端设置SOC阈值停止,待业务确认,139
2024-09,枪未正确连接/连接断开,待业务确认,127
2024-09,等待接收车端BRM报文超时,待业务确认,118
2024-09,BST其他异常,待业务确认,94
2024-09,绝缘检测阻值低告警,待业务确认,32
2024-09,桩主动停止,待业务确认,21
2024-09,桩端急停按钮被按下,待业务确认,19
2024-09,设备掉电非正常停止,待业务确认,16
2024-09,BST充电连接器故障,待业务确认,12
2024-09,启动中/运行中/停止中不允许启动,待业务确认,12
2024-09,绝缘检测时未检测到电压,待业务确认,10
2024-09,主动防护:电压曲线抖动防护模型异常告警,待业务确认,8
2024-09,充电枪电子锁故障,待业务确认,8
2024-09,屏幕手动停止,待业务确认,8
2024-09,等待接收车端BCL报文超时,待业务确认,8
2024-09,等待接收车端BRO[00]报文超时,待业务确认,7
2024-09,车端已发BRO[AA]再发BRO[00],待业务确认,7
2024-09,BST检测点2电压故障,待业务确认,5
2024-09,等待接收车端BCS报文超时,待业务确认,4
2024-09,BEM中CST超时中止,待业务确认,3
2024-09,充电设备产生有新充电订单,待业务确认,3
2024-09,等待接收车端BRO[AA]报文超时,待业务确认,3
2024-09,BEM中CSD超时中止,待业务确认,2
2024-09,K1/K2继电器外侧电压大于10V,待业务确认,2
2024-09,BST电流过大,待业务确认,1
2024-09,与平台通讯中断停止,待业务确认,1
2024-09,主动防护:电流曲线抖动防护模型异常告警,待业务确认,1
2024-09,充电板通讯故障,待业务确认,1
2024-09,桩体柜门打开,待业务确认,1
2024-09,电表数据异常,待业务确认,1
2024-09,车辆继电器开路保护,待业务确认,1
2024-09,辅枪停止,待业务确认,1
2024-10,APP/微信/平台停止,待业务确认,5450
2024-10,BST车端主动停止,待业务确认,2275
2024-10,BST车端主动停止(达到单体电压),待业务确认,1052
2024-10,枪未正确连接/连接断开,待业务确认,259
2024-10,达到桩端设置SOC阈值停止,待业务确认,237
2024-10,BST车端主动停止(达到总电压),待业务确认,236
2024-10,余额不足停止,待业务确认,146
2024-10,等待接收车端BRM报文超时,待业务确认,134
2024-10,BST其他异常,待业务确认,108
2024-10,屏幕手动停止,待业务确认,100
2024-10,充电设备产生有新充电订单,待业务确认,66
2024-10,桩主动停止,待业务确认,56
2024-10,桩端急停按钮被按下,待业务确认,56
2024-10,等待接收车端BRO[00]报文超时,待业务确认,15
2024-10,BST充电连接器故障,待业务确认,13
2024-10,启动中/运行中/停止中不允许启动,待业务确认,13
2024-10,等待接收车端BCL报文超时,待业务确认,10
2024-10,充电板通讯故障,待业务确认,7
2024-10,BST检测点2电压故障,待业务确认,6
2024-10,辅枪停止,待业务确认,6
2024-10,等待接收车端BCS报文超时,待业务确认,5
2024-10,绝缘检测时未检测到电压,待业务确认,4
2024-10,预充升压超时,待业务确认,4
2024-10,与平台通讯中断停止,待业务确认,3
2024-10,设备掉电非正常停止,待业务确认,3
2024-10,车端已发BRO[AA]再发BRO[00],待业务确认,3
2024-10,BEM中CSD超时中止,待业务确认,2
2024-10,BST高压继电器故障,待业务确认,2
2024-10,充电枪电子锁故障,待业务确认,2
2024-10,电表数据异常,待业务确认,2
2024-10,等待接收车端BCP报文超时,待业务确认,2
2024-10,等待接收车端BRO[AA]报文超时,待业务确认,2
2024-10,BEM中CCS超时中止,待业务确认,1
2024-10,BEM中CML/CTS超时中止,待业务确认,1
2024-10,BEM中CRM[00]超时中止,待业务确认,1
2024-10,BEM中CRO超时中止,待业务确认,1
2024-10,BST电流过大,待业务确认,1
2024-10,BST绝缘故障,待业务确认,1
2024-10,PDU12通讯故障,待业务确认,1
2024-10,PDU6通讯故障,待业务确认,1
2024-10,后台下发指令停止充电,待业务确认,1
2024-10,审计:订单持续10分钟有电流电压但无电量停止,待业务确认,1
2024-10,平台侧强制停止订单,待业务确认,1
2024-10,电池极性反接故障,待业务确认,1
2024-10,绝缘检测阻值低告警,待业务确认,1
