station_code,endReason,end_reason_category,order_count
STATION_09,APP/微信/平台停止,待业务确认,5030
STATION_08,APP/微信/平台停止,待业务确认,4920
STATION_04,APP/微信/平台停止,待业务确认,4168
STATION_15,APP/微信/平台停止,待业务确认,3024
STATION_03,APP/微信/平台停止,待业务确认,2899
STATION_15,BST车端主动停止,待业务确认,2601
STATION_15,BST车端主动停止(达到单体电压),待业务确认,1943
STATION_08,BST车端主动停止,待业务确认,1915
STATION_09,BST车端主动停止,待业务确认,1501
STATION_03,BST车端主动停止,待业务确认,1188
STATION_04,BST车端主动停止,待业务确认,1135
STATION_10,APP/微信/平台停止,待业务确认,930
STATION_09,BST车端主动停止(达到单体电压),待业务确认,857
STATION_12,APP/微信/平台停止,待业务确认,845
STATION_16,APP/微信/平台停止,待业务确认,833
STATION_11,APP/微信/平台停止,待业务确认,811
STATION_17,APP/微信/平台停止,待业务确认,787
STATION_06,APP/微信/平台停止,待业务确认,766
STATION_13,APP/微信/平台停止,待业务确认,746
STATION_13,BST车端主动停止,待业务确认,630
STATION_04,BST车端主动停止(达到单体电压),待业务确认,603
STATION_08,BST车端主动停止(达到单体电压),待业务确认,548
STATION_07,APP/微信/平台停止,待业务确认,518
STATION_12,BST车端主动停止,待业务确认,516
STATION_01,APP/微信/平台停止,待业务确认,377
STATION_18,APP/微信/平台停止,待业务确认,369
STATION_19,APP/微信/平台停止,待业务确认,356
STATION_02,APP/微信/平台停止,待业务确认,310
STATION_03,BST车端主动停止(达到单体电压),待业务确认,283
STATION_12,BST车端主动停止(达到单体电压),待业务确认,251
STATION_19,BST车端主动停止,待业务确认,238
STATION_13,BST车端主动停止(达到单体电压),待业务确认,234
STATION_06,BST车端主动停止,待业务确认,231
STATION_08,枪未正确连接/连接断开,待业务确认,231
STATION_10,BST车端主动停止,待业务确认,224
STATION_18,BST车端主动停止,待业务确认,224
STATION_07,BST车端主动停止,待业务确认,221
STATION_15,BST车端主动停止(达到总电压),待业务确认,219
STATION_11,BST车端主动停止,待业务确认,209
STATION_11,BST车端主动停止(达到单体电压),待业务确认,196
STATION_18,BST车端主动停止(达到单体电压),待业务确认,191
STATION_09,BST车端主动停止(达到总电压),待业务确认,188
STATION_10,BST车端主动停止(达到单体电压),待业务确认,180
STATION_17,BST车端主动停止(达到单体电压),待业务确认,177
STATION_09,余额不足停止,待业务确认,166
STATION_16,BST车端主动停止(达到单体电压),待业务确认,165
STATION_08,余额不足停止,待业务确认,162
STATION_06,BST车端主动停止(达到单体电压),待业务确认,155
STATION_09,枪未正确连接/连接断开,待业务确认,150
STATION_16,BST车端主动停止,待业务确认,148
STATION_17,BST车端主动停止,待业务确认,145
STATION_15,达到桩端设置SOC阈值停止,待业务确认,144
STATION_19,BST车端主动停止(达到单体电压),待业务确认,142
STATION_01,BST车端主动停止,待业务确认,140
STATION_08,达到桩端设置SOC阈值停止,待业务确认,139
STATION_08,绝缘检测阻值低告警,待业务确认,136
STATION_04,枪未正确连接/连接断开,待业务确认,128
STATION_13,达到桩端设置SOC阈值停止,待业务确认,123
STATION_03,余额不足停止,待业务确认,122
STATION_08,等待接收车端BRM报文超时,待业务确认,119
