hour,order_count,charging_kwh,amount_paid
0,1482,57088.052,45391.02
1,1071,39228.896,31148.4
2,767,27589.843,22055.41
3,576,20095.803,16136.32
4,516,19447.911,15033.73
5,487,17221.166,12767.53
6,532,17363.425,14624.02
7,634,18980.285,18464.27
8,1080,35030.275,34140.02
9,1670,42748.591,40785.22
10,2369,64847.245,62531.82
11,3055,82942.884,81507.54
12,3764,102884.226,97936.57
13,3470,93654.468,90878.17
14,3827,104791.663,101647.15
15,4100,110581.866,106391.12
16,3925,107326.842,104338.32
17,3508,99585.477,98628.76
18,3135,87372.772,86202.38
19,3011,83525.198,81765.62
20,2792,80865.266,78747.68
21,2363,68709.477,66219.73
22,2155,67910.232,60007.25
23,2254,80995.165,60391.81
