station_code,amount_due,amount_paid,electricity_fee,service_fee,discount,service_fee_share,paid_amount_per_kwh,avg_paid_order_amount
STATION_09,259568.77,259129.66,220260.79,39307.98,439.11,0.151436,0.9683,30.5
STATION_08,224936.53,224526.15,193930.84,31005.69,410.38,0.137842,0.9803,26.29
STATION_04,220426.88,219626.16,131438.97,88987.91,682.99,0.403707,1.0026,31.95
STATION_03,149899.79,149269.36,86439.74,63460.05,595.29,0.42335,1.0361,29.9
STATION_15,135857.42,135308.83,115514.69,20342.73,377.64,0.149736,0.599,16.2
STATION_12,71646.93,71542.45,62301.77,9345.16,104.48,0.130434,0.9696,36.86
STATION_13,55224.4,55095.83,48883.73,6340.67,128.57,0.114816,0.9746,29.34
STATION_18,44472.35,44222.8,26361.39,18110.96,152.03,0.407241,1.0065,42.85
STATION_06,39348.24,39238.82,34913.28,4434.96,109.42,0.112711,0.9724,29.55
STATION_10,31936.8,31843.4,27367.63,4569.17,93.4,0.143069,0.9723,21.12
STATION_11,31284.58,31202.11,27050.92,4233.66,82.47,0.135327,0.9721,22.24
STATION_17,31126.79,30941.78,17819.71,13307.08,156.29,0.427512,1.0418,24.42
STATION_16,31139.16,30931.59,18009.2,13129.96,166.26,0.421654,1.0305,23.74
STATION_19,28714.62,28495.31,16977.99,11736.63,219.31,0.408734,1.007,32.49
STATION_07,26567.97,26518.65,23087.91,3480.06,49.32,0.130987,0.9748,26.76
STATION_01,25536.76,25391.86,14999.52,10537.24,144.9,0.41263,1.0157,33.63
STATION_02,18797.14,18727.82,10972.65,7824.49,69.32,0.41626,1.0241,30.96
STATION_14,5437.95,5377.12,3591.0,1846.95,60.83,0.339641,0.7951,16.6
STATION_05,352.16,350.16,237.13,115.03,2.0,0.326641,0.886,25.01
