station_code,order_count,charging_kwh,amount_due,amount_paid,electricity_fee,service_fee,avg_order_amount,avg_charging_kwh,avg_duration,active_plug_count,orders_per_active_plug,kwh_per_active_plug,revenue_per_active_plug
STATION_08,8539,229030.42,224936.53,224526.15,193930.84,31005.69,26.34,26.822,29.61,12,711.583,19085.868,18744.71
STATION_09,8497,267603.739,259568.77,259129.66,220260.79,39307.98,30.55,31.494,30.41,12,708.083,22300.312,21630.73
STATION_15,8363,225904.642,135857.42,135308.83,115514.69,20342.73,16.25,27.012,45.69,48,174.229,4706.347,2830.36
STATION_04,6876,219062.833,220426.88,219626.16,131438.97,88987.91,32.06,31.859,28.11,12,573.0,18255.236,18368.91
STATION_03,4994,144065.292,149899.79,149269.36,86439.74,63460.05,30.02,28.848,29.45,12,416.167,12005.441,12491.65
STATION_12,1941,73787.64,71646.93,71542.45,62301.77,9345.16,36.91,38.015,40.63,6,323.5,12297.94,11941.15
STATION_13,1878,56534.631,55224.4,55095.83,48883.73,6340.67,29.41,30.104,35.67,6,313.0,9422.439,9204.07
STATION_10,1508,32751.789,31936.8,31843.4,27367.63,4569.17,21.18,21.719,30.16,6,251.333,5458.632,5322.8
STATION_11,1403,32096.915,31284.58,31202.11,27050.92,4233.66,22.3,22.877,28.17,6,233.833,5349.486,5214.1
STATION_06,1328,40353.369,39348.24,39238.82,34913.28,4434.96,29.63,30.387,34.41,6,221.333,6725.561,6558.04
STATION_16,1304,30015.045,31139.16,30931.59,18009.2,13129.96,23.88,23.018,30.1,6,217.333,5002.507,5189.86
STATION_17,1268,29699.247,31126.79,30941.78,17819.71,13307.08,24.55,23.422,28.02,6,211.333,4949.874,5187.8
STATION_18,1033,43935.583,44472.35,44222.8,26361.39,18110.96,43.05,42.532,39.08,6,172.167,7322.597,7412.06
STATION_07,991,27204.847,26567.97,26518.65,23087.91,3480.06,26.81,27.452,32.41,6,165.167,4534.141,4427.99
STATION_19,877,28296.315,28714.62,28495.31,16977.99,11736.63,32.74,32.265,35.2,6,146.167,4716.052,4785.77
STATION_01,755,24999.095,25536.76,25391.86,14999.52,10537.24,33.82,33.111,33.95,6,125.833,4166.516,4256.13
STATION_02,605,18287.608,18797.14,18727.82,10972.65,7824.49,31.07,30.227,34.76,6,100.833,3047.935,3132.86
STATION_14,369,6762.808,5437.95,5377.12,3591.0,1846.95,14.74,18.327,38.35,48,7.688,140.892,113.29
STATION_05,14,395.21,352.16,350.16,237.13,115.03,25.15,28.229,31.38,5,2.8,79.042,70.43
