anonymous_user_id,order_count,charging_kwh,amount_paid,first_charge_date,last_charge_date,active_days,active_months
ANON_USER_15730,1460,35237.1,30278.69,2024-08-21,2025-01-06,138,6
ANON_USER_20501,141,3277.735,2974.5,2024-07-19,2025-01-03,107,7
ANON_USER_06442,125,1596.17,1589.06,2024-07-25,2025-01-05,88,7
ANON_USER_04217,109,339.737,352.83,2024-07-13,2025-01-05,21,7
ANON_USER_01135,104,2658.634,2642.89,2024-07-15,2025-01-05,86,7
ANON_USER_15150,95,857.482,876.31,2024-08-26,2024-12-23,63,5
ANON_USER_02060,92,2652.246,2590.47,2024-07-14,2025-01-06,68,7
ANON_USER_15416,91,1786.937,1771.7,2024-07-24,2025-01-04,71,7
ANON_USER_18735,91,2972.575,2773.23,2024-07-17,2025-01-01,68,7
ANON_USER_11252,89,1412.713,1456.1,2024-07-23,2025-01-06,72,7
ANON_USER_07676,88,1487.604,1529.58,2024-08-22,2025-01-06,85,6
ANON_USER_10646,87,2400.478,2471.36,2024-07-16,2025-01-06,63,7
ANON_USER_06493,82,920.161,960.16,2024-09-03,2024-12-29,76,4
ANON_USER_16753,82,1511.802,1522.9,2024-07-17,2024-12-12,71,6
ANON_USER_14849,78,2105.314,2034.0,2024-08-22,2025-01-06,41,6
ANON_USER_06769,77,1878.702,1903.69,2024-07-13,2024-12-24,63,6
ANON_USER_08795,77,1152.33,764.92,2024-10-19,2025-01-06,36,3
ANON_USER_16971,77,1897.669,1695.4,2024-10-26,2024-12-02,38,3
ANON_USER_17803,77,1121.24,720.5,2024-11-04,2025-01-06,42,3
ANON_USER_04261,76,1362.406,1364.44,2024-07-13,2025-01-04,61,7
ANON_USER_01239,74,1993.827,1976.49,2024-07-18,2025-01-06,62,7
ANON_USER_16686,69,1659.782,1668.13,2024-07-13,2024-12-30,62,6
ANON_USER_18618,69,1076.534,1123.12,2024-08-19,2025-01-06,56,6
ANON_USER_13265,68,1697.718,1741.15,2024-07-30,2024-12-30,62,6
ANON_USER_22192,68,913.355,939.39,2024-07-19,2025-01-04,53,7
ANON_USER_03259,65,2407.347,2432.89,2024-07-16,2024-12-26,61,6
ANON_USER_04250,63,1094.036,1129.21,2024-07-13,2025-01-06,58,6
ANON_USER_20896,60,1484.428,1484.51,2024-07-24,2024-12-23,56,6
ANON_USER_03695,59,1283.235,1181.24,2024-12-02,2025-01-06,32,2
ANON_USER_16103,59,1525.935,776.54,2024-10-22,2025-01-06,36,4
ANON_USER_13837,58,2869.7,2773.13,2024-07-20,2025-01-01,50,7
ANON_USER_14443,56,1289.57,813.84,2024-11-19,2025-01-05,30,3
ANON_USER_06936,55,648.606,661.24,2024-08-25,2024-12-10,36,5
ANON_USER_11072,55,1524.342,1580.22,2024-08-19,2025-01-06,50,6
ANON_USER_00704,53,796.143,803.58,2024-08-19,2024-12-02,45,5
ANON_USER_03660,52,1773.151,1736.17,2024-07-24,2025-01-05,47,7
ANON_USER_15680,52,3318.085,3220.07,2024-10-01,2025-01-03,33,4
ANON_USER_21968,52,2279.652,1591.38,2024-10-30,2025-01-04,35,4
ANON_USER_16365,51,1125.433,577.14,2024-12-03,2025-01-06,33,2
ANON_USER_14093,50,1471.457,1435.18,2024-07-15,2024-12-15,44,4
