order_count,user_count,user_share
1,14910,0.671138
2,3447,0.155158
3,1280,0.057616
4,697,0.031374
5,408,0.018365
6,298,0.013414
7,215,0.009678
8,154,0.006932
9,104,0.004681
10,103,0.004636
11,68,0.003061
12,51,0.002296
13,54,0.002431
14,31,0.001395
15,36,0.00162
16,25,0.001125
17,34,0.00153
18,21,0.000945
19,20,0.0009
20,17,0.000765
21,25,0.001125
22,16,0.00072
23,13,0.000585
24,12,0.00054
25,11,0.000495
26,8,0.00036
27,8,0.00036
28,13,0.000585
29,10,0.00045
30,7,0.000315
31,9,0.000405
32,9,0.000405
33,5,0.000225
34,5,0.000225
35,10,0.00045
36,4,0.00018
37,3,0.000135
38,3,0.000135
39,3,0.000135
40,3,0.000135
41,5,0.000225
42,5,0.000225
43,2,9e-05
44,3,0.000135
45,1,4.5e-05
46,2,9e-05
47,4,0.00018
48,2,9e-05
49,2,9e-05
50,1,4.5e-05
51,1,4.5e-05
52,3,0.000135
53,1,4.5e-05
55,2,9e-05
56,1,4.5e-05
58,1,4.5e-05
59,2,9e-05
60,1,4.5e-05
63,1,4.5e-05
65,1,4.5e-05
68,2,9e-05
69,2,9e-05
74,1,4.5e-05
76,1,4.5e-05
77,4,0.00018
78,1,4.5e-05
82,2,9e-05
87,1,4.5e-05
88,1,4.5e-05
89,1,4.5e-05
91,2,9e-05
92,1,4.5e-05
95,1,4.5e-05
104,1,4.5e-05
109,1,4.5e-05
125,1,4.5e-05
141,1,4.5e-05
1460,1,4.5e-05
