user_id,register_date,user_type,order_count,total_revenue,total_charging_kwh,avg_order_value,frequency_segment
U001,2025-01-04,individual,22,1140.3,778.0,51.83,high_frequency
U002,2025-02-07,individual,18,1141.28,772.5,63.4,high_frequency
U003,2025-03-10,fleet,16,1031.41,712.5,64.46,high_frequency
U004,2025-04-13,ride_hailing,14,717.98,494.5,51.28,high_frequency
U005,2025-05-16,individual,12,801.07,541.5,66.76,high_frequency
U006,2025-06-19,fleet,11,730.73,503.0,66.43,medium_frequency
U007,2025-07-22,individual,10,621.72,424.5,62.17,medium_frequency
U008,2025-08-01,ride_hailing,9,502.13,347.5,55.79,medium_frequency
U009,2025-09-04,individual,8,531.85,364.0,66.48,medium_frequency
U010,2025-10-07,fleet,8,522.81,356.5,65.35,medium_frequency
U011,2025-11-10,individual,7,452.7,307.0,64.67,medium_frequency
U012,2025-12-13,individual,7,390.38,263.5,55.77,medium_frequency
U014,2025-02-19,individual,6,329.27,229.5,54.88,medium_frequency
U013,2025-01-16,ride_hailing,6,321.36,221.0,53.56,medium_frequency
U015,2025-03-22,fleet,5,363.51,246.5,72.7,low_frequency
U016,2025-04-01,individual,5,238.05,163.5,47.61,low_frequency
U019,2025-07-10,individual,4,320.92,217.0,80.23,low_frequency
U020,2025-08-13,fleet,4,292.26,199.5,73.06,low_frequency
U017,2025-05-04,individual,4,286.19,196.5,71.55,low_frequency
U018,2025-06-07,ride_hailing,4,157.33,110.5,39.33,low_frequency
